Pure ID,Journal ISSN
2226213443,
2226213387,1078-0998
2226213370,1016-8737
2226213307,
2226213243,0194-5998
2226213171,
2226213120,
2226213101,
2226213048,1945-4589
2226212999,0192-0790
2226212979,0031-9007
2226212850,
2226212803,0974-3227
2226212755,0278-6826
2226212674,2213-6711
2226212633,1533-256X
2226212613,
2226212596,0965-7576
2226212534,0001-2998
2226212498,1045-4527
2226212459,
2226212348,0963-8199
2226212317,1050-642X
2226212286,
2226212248,
2226212192,1090-7165
2226212146,0148-639X
2226212073,0009-9147
2226212014,2213-6711
2226211918,0390-6078
2226211891,0171-8630
2226211873,1477-9226
2226211855,1540-496X
2226211801,1061-8600
2226211754,0392-856X
2226211730,1941-9651
2226211432,1020-4067
2226211389,0008-4182
2226211368,
2226211145,0003-2700
2226211115,0013-936X
2226211071,2473-9529
2226211030,0882-7974
2226210591,1082-6084
2226210533,0737-4038
2226210419,1087-2108
2226210357,1546-9530
2226210321,0272-2712
2226210194,
2226210165,0362-9805
2226210033,0390-6078
2226209965,
2226209901,0195-6108
2226209868,0268-2605
2226209565,
2226209470,
2226209433,2049-4394
2226209397,0896-6273
2226209311,
2226209232,1535-7163
2226209179,2168-622X
2226209148,1364-8535
2226209086,0304-3878
2226209060,
2226208988,2452-302X
2226208914,1051-0443
2226208891,1067-991X
2226208835,1935-973X
2226208794,1549-9596
2226208759,
2226208743,0036-9292
2226208651,0963-8199
2226208631,0017-808X
2226208585,
2226208572,
2226208416,1066-5099
2226208395,0031-9007
2226208321,1931-3128
2226208289,1359-4184
2226208248,1931-3128
2226208217,2542-4793
2226208163,2452-302X
2226208103,
2226208071,0192-0790
2226207945,0090-3493
2226207790,0741-5400
2226207760,
2226207745,
2226207634,0194-5998
2226207594,1526-2375
2226207556,0740-9303
2226207514,0896-6273
2226207482,2161-2129
2226207467,
2226207411,0733-4648
2226207291,1066-8926
2226207194,2211-0348
2226207114,
2226207013,1092-4388
2226206985,
2226206965,2576-9456
2226206910,0965-7576
2226206858,
2226206836,0016-7037
2226206717,
2226206686,1083-7159
2226206590,1076-0512
2226206556,1573-4110
2226206535,0010-1958
2226206491,0960-7412
2226206395,
2226206361,1065-9471
2226206287,0027-8424
2226206236,
2226206185,
2226206162,0896-7148
2226206116,1078-4659
2226206071,1878-9293
2226206053,1476-9948
2226205808,0009-9147
2226205783,
2226205733,1860-7179
2226205706,
2226205661,0355-3140
2226205642,1476-9948
2226205520,
2226205496,
2226205410,
2226205366,
2226205295,
2226205196,
2226205180,
2226205093,0038-4038
2226205041,1878-9293
2226204997,0016-5107
2226204838,0743-8346
2226204788,1076-9757
2226204751,0883-5403
2226204734,1058-6458
2226204693,2473-9529
2226204560,1097-2765
2226204521,0144-929X
2226204483,1323-8930
2226204428,
2226204415,0002-8282
2226204316,1058-8388
2226204304,
2195534740,1475-2867
2195534711,
2195534658,0148-0227
2195534635,0090-502X
2195534591,
2195534589,0179-0358
2195534552,0012-821X
2195534525,
2195534507,1070-5309
2195534490,0038-4941
2195534444,0895-3309
2195534423,
2195534402,1042-9573
2195534387,
2195534353,1742-058X
2195534323,1075-2730
2195534302,1053-8712
2195534279,0094-8276
2195534261,0742-5562
2195534209,
2195534195,
2195534158,1680-7316
2195534126,
2195534097,0037-7732
2195534074,0032-3861
2195533983,1613-6810
2195533959,1047-7039
2195533929,0304-405X
2195533913,
2195533869,1058-6407
2195533841,0009-2541
2195533801,1680-7316
2195533774,
2195533746,
2195533713,0022-0531
2195533700,
2195533666,0015-1386
2195533637,0002-7863
2195533622,0556-2813
2195533600,0276-7333
2195533562,1932-7447
2195533546,0002-7863
2195533525,0266-6286
2195533504,0018-9294
2195533413,0735-0015
2195533387,0148-0227
2195533358,0165-1889
2195533341,
2195533288,1549-9618
2195533273,
2195533253,0020-1669
2195533239,0092-5853
2195533193,1040-0605
2195533176,
2195533150,0021-8502
2195533140,
2195533091,0190-7409
2195533059,
2195533038,0001-1541
2195533029,
2195532996,0749-596X
2195532924,0003-0007
2195532897,0749-596X
2195532883,
2195532719,
2195532683,0148-0227
2195532618,1680-7316
2195532587,0010-0277
2195532559,1062-1024
2195532542,0172-4622
2195532502,0013-936X
2195532477,1557-0541
2195532445,0148-0227
2195532420,1053-587X
2195532371,0162-1459
2195532344,
2195532322,0140-3664
2195532305,1474-8460
2195532230,0269-9931
2195532192,1744-1692
2195532169,0002-7863
2195532130,0018-9286
2195532095,0003-0147
2195532079,
